area,url,category,title,date,id,comment,body
滋賀県,https://shiga-keizokushien.com/, 支援金,滋賀県事業継続支援金(第4期) ,2022-03-30,,,
滋賀県,https://www.pref.shiga.lg.jp/kensei/koho/e-shinbun/oshirase/320764.html, 融資,「短期事業資金(コロナ枠)」 ,2022-03-30,,,
滋賀県,https://www.pref.shiga.lg.jp/ippan/shigotosangyou/kigyou/300703.html, 融資,中小企業者向け制度融資のご案内 ,2022-03-30,,,
滋賀県,https://www.pref.shiga.lg.jp/ippan/bousai/sougo/311727.html,, 新型コロナウィルス感染症で影響を受けている滋賀県民・県内事業者のみなさまへ ,2022-03-30,,,
滋賀県,https://shiga-anshin-ninsho.jp/, 認証制度,みんなでつくる滋賀県安心・安全店舗認証制度 ,2022-03-30,,,
滋賀県,https://www.pref.shiga.lg.jp/kensei/koho/e-shinbun/oshirase/310173.html, 相談,新型コロナウイルス感染症の発生に伴う労働相談窓口 ,2022-03-30,,,
滋賀県,https://www.pref.shiga.lg.jp/ippan/shigotosangyou/kigyou/313673.html, 相談,新型コロナウイルス感染症対策にかかる各種支援策のワンストップ相談窓口 ,2022-03-30,,,
滋賀県,https://www.pref.shiga.lg.jp/ippan/shigotosangyou/syougyou/315516.html, 相談,コロナでお困りの県内中小企業・小規模事業者等の皆様へ＜オンライン相談＞～滋賀県産業支援プラザ～ ,2022-03-30,,,
滋賀県,https://www.shigaplaza.or.jp/hojokin-co2-202204-1028/,,補助金：「省エネ・再エネ等設備導入加速化補助金　令和4年度【3次募集】」,2022-08-08,75798,※2022年8月4日更新　申請期限2022年10月31日,
滋賀県,https://www.kansai.meti.go.jp/2kokuji/glocal_PT/sesakuguide/sesakuguide2022.html,,支援情報：「近畿地域の中小企業のための海外展開支援施策ガイド2022」が完成しました！ ～こんなときどんな支援があるの？にお答えします～,2022-06-21,78668,※2022年6月17日更新,
滋賀県,https://www.pref.shiga.lg.jp/ippan/kankyoshizen/ondanka/311293.html,,【滋賀県】補助金：「令和4年度省エネ・再エネ等設備導入加速化補助金」,2022-05-13,76152,※2022年6月20日更新　申請期限2022年10月31日,
滋賀県,https://www.pref.shiga.lg.jp/kensei/koho/e-shinbun/bosyuu/325630.html,,【滋賀県】事業者募集：「滋賀県庁正面玄関前駐車場に出店するキッチンカー等の事業者を募集します！」,2022-06-09,77847,※2022年6月6日更新　申請期限2022年9月9日,
滋賀県,https://www.city.osaka.lg.jp/keizaisenryaku/page/0000578120.html,,【大阪府、京都府、兵庫県、滋賀県、和歌山県、鳥取県、徳島県、大阪市、堺市、京都市、神戸市】商談会：「令和4年度関西広域連合WEB型マッチング商談会参加事業者の募集について」,2022-09-06,83812,※2022年9月2日更新　申請期限2022年9月22日,
滋賀県,https://chuokai-shiga.or.jp/tuika/,,補助金：「地域経済活性化補助金　組合支援事業　3次募集について」,2022-10-20,86842,※2022年10月19日更新　申請期限2022年11月18日,
滋賀県,https://www.pref.shiga.lg.jp/kensei/koho/e-shinbun/oshirase/329252.html,,【滋賀県】融資：「国における新たな信用保証制度を活用した新資金を創設～借換需要や新たな資金需要にも対応する資金を創設します～」,2023-01-06,92272,※2022年12月28日更新,
滋賀県,https://www.pref.shiga.lg.jp/kensei/koho/e-shinbun/oshirase/329355.html,,【滋賀県】融資・貸付：「セーフティネット資金（ポストコロナ新規枠・借換枠）を創設～借換需要や新たな資金需要にも対応する資金を創設します～」,2023-01-12,92506,※2023年1月10日更新,
