area,url,category,title
塩竈市,https://www.city.shiogama.miyagi.jp/site/covit19/25463.html, 支援金,しおがま時短要請外支援金 
塩竈市,https://www.city.shiogama.miyagi.jp/site/covit19/21056.html, 助成金,塩竈市雇用調整助成金申請支援助成金 
塩竈市,https://www.city.shiogama.miyagi.jp/site/covit19/16497.html, 補助金,塩竈市小規模事業者販路開拓等補助金 
塩竈市,https://www.city.shiogama.miyagi.jp/soshiki/16/2476.html, 融資,塩竃市中小企業融資制度 
塩竈市,https://www.city.shiogama.miyagi.jp/soshiki/16/13662.html, 融資,新型コロナウイルス感染症対応資金（民間金融機関による実質無利子・無担保融資） 
塩竈市,https://www.city.shiogama.miyagi.jp/soshiki/16/13126.html,, セーフティネット保証、危機関連保証について 
塩竈市,https://www.city.shiogama.miyagi.jp/soshiki/16/3362.html,, 生産性向上のために設備投資を行う中小企業者を支援します 
塩竈市,https://www.city.shiogama.miyagi.jp/site/covit19/list28.html,, 新型コロナウイルス感染症に関する情報　事業者の方へ 
塩竈市,https://www.city.shiogama.miyagi.jp/site/covit19/8641.html, 相談,新型コロナウイルスに関する中小企業・小規模事業者の相談窓口 
塩竈市,https://www.city.shiogama.miyagi.jp/site/covit19/21496.html, 相談,新型コロナウイルス感染症拡大防止協力金(飲食店事業者向け）について 
塩竈市,https://www.city.shiogama.miyagi.jp/site/covit19/23099.html, 取扱店募集,しおがまおでかけ応援商品券 
