area,url,category,title
富谷市,https://www.tomiya-city.miyagi.jp/kinkyu/corona/kyouryokukin12.html, 協力金,新型コロナウイルス感染症拡大防止協力金（第12期） 
富谷市,https://www.tomiya-city.miyagi.jp/kinkyu/corona/kyouryokukin11.html, 協力金,新型コロナウイルス感染症拡大防止協力金（第11期） 
富谷市,https://www.tomiya-city.miyagi.jp/kinkyu/vaccine/kyouryokukin.html, 協力金,新型コロナウイルス感染症拡大防止協力金（第10期） 
富谷市,https://www.tomiya-city.miyagi.jp/kinkyu/corona/ninshoutenpo.html, 支援金,みやぎ飲食店コロナ対策認証店舗支援金 
富谷市,https://www.tomiya-city.miyagi.jp/kenkou/kenkou/kansen/30d26fbab886ef96c51f4c901c48e0e2cfbc9c48.html, 補助金,新型コロナウイルスに係る消毒事業補助金 
富谷市,https://www.tomiya-city.miyagi.jp/kinkyu/corona/kinkyuushien.html,, 新型コロナウイルス感染症に伴うセーフティネット保証（4号・5号）の認定 
富谷市,https://www.tomiya-city.miyagi.jp/kinkyu/corona/kikikanren.html,, 新型コロナウイルス感染症に伴う危機関連保証の認定 
富谷市,https://www.tomiya-city.miyagi.jp/kinkyu/corona/corona3.html, 相談,新型コロナウイルス感染症に関する市の相談窓口一覧 
富谷市,https://www.tomiya-city.miyagi.jp/kinkyu/corona/chiikishinkokeirou-jigyosha.html,, 「地域振興商品券（とみや応援商品券）」・「敬老祝い商品券」取扱店舗募集中！　 
富谷市,https://www.tomiya-city.miyagi.jp/kinkyu/corona/shien2.html,, 富谷市独自経済対策等リスト（事業者向け） 
